cell_id,date,scenario,failure_day,load_index,sinr_db,rsrp_dbm,rsrq_db,cqi_mean,avg_rank,mcs_dl_mean,bler_dl_pct,ul_bler_pct,harq_retx_ratio,prb_util_dl_pct,ul_prb_util_pct,active_users,traffic_volume_gb,mu_mimo_ratio,rank_1_ratio,bfr_count,beam_switch_count,beam_concentration,rrc_setup_success_pct,drb_setup_success_pct,prach_success_pct,pucch_util_pct,ul_rssi_dbm,cqi_rank_gap,beam_efficiency,sinr_cqi_delta
Cell_0000,01/11/2024,beam_misalignment,-1,1.0,9.609,-90.668,-10.471,5.847,1.615,18.754,9.099,16.85,0.277,45.89,26.594,8.0,1.606,0.215,0.811,10.0,16.0,0.392,92.826,94.585,89.762,32.269,-96.414,3.621,0.079,0.84
Cell_0000,01/12/2024,beam_misalignment,-1,0.942,10.449,-94.609,-10.354,4.9,1.813,17.485,12.583,15.071,0.225,43.891,29.354,5.0,1.856,0.266,0.774,14.0,21.0,0.345,89.029,95.277,85.764,32.652,-100.268,2.702,0.105,3.1
Cell_0000,01/13/2024,beam_misalignment,-1,0.833,10.16,-97.265,-9.672,5.304,1.0,18.7,7.949,16.977,0.308,45.979,22.878,5.0,2.245,0.237,0.729,9.0,15.0,0.35,89.3,93.388,89.831,28.405,-102.832,5.304,0.054,2.2
Cell_0000,01/14/2024,beam_misalignment,-1,0.814,8.39,-93.551,-11.046,5.122,1.386,16.01,11.514,12.61,0.398,36.831,22.204,3.0,0.952,0.223,0.778,4.0,21.0,0.389,91.877,93.781,88.137,27.429,-106.914,3.695,0.069,0.71
Cell_0000,01/15/2024,beam_misalignment,-1,1.0,8.624,-94.854,-10.784,5.833,1.653,20.458,10.482,13.915,0.269,59.671,26.523,6.0,2.27,0.221,0.831,3.0,12.0,0.389,91.446,91.756,85.944,42.344,-107.581,3.528,0.082,-0.13
Cell_0000,01/16/2024,beam_misalignment,-1,1.0,10.185,-91.79,-10.975,4.782,1.785,17.804,23.425,15.033,0.415,48.741,24.839,6.0,2.326,0.259,0.768,11.0,24.0,0.349,91.967,93.72,88.699,32.136,-110.709,2.678,0.089,3.01
Cell_0000,01/17/2024,beam_misalignment,-1,0.98,10.036,-89.395,-9.245,5.721,1.57,18.06,13.611,8.732,0.358,54.466,28.385,6.0,1.566,0.233,0.801,9.0,25.0,0.362,88.605,93.211,89.021,39.639,-96.809,3.645,0.079,1.45
Cell_0000,01/18/2024,beam_misalignment,-1,0.974,7.311,-100.314,-10.784,4.937,1.537,16.003,28.699,16.451,0.289,47.777,33.284,6.0,1.818,0.238,0.816,8.0,20.0,0.44,95.367,91.215,85.325,31.532,-97.554,3.212,0.065,-0.09
Cell_0000,01/19/2024,beam_misalignment,-1,0.934,7.12,-106.946,-10.382,4.773,1.87,18.185,11.852,9.668,0.307,44.408,35.14,5.0,1.593,0.241,0.813,12.0,23.0,0.349,88.51,92.883,89.101,28.516,-109.794,2.552,0.099,-0.04
Cell_0000,01/20/2024,beam_misalignment,-1,0.782,9.366,-97.428,-10.711,5.186,1.799,18.496,13.124,15.417,0.301,41.949,22.636,4.0,2.006,0.23,0.811,10.0,18.0,0.442,90.995,92.197,87.97,23.043,-106.245,2.883,0.09,1.59
Cell_0000,01/21/2024,beam_misalignment,-1,0.783,8.882,-100.625,-10.501,5.305,1.341,15.334,11.536,14.793,0.369,45.324,26.666,3.0,1.833,0.241,0.765,11.0,14.0,0.412,90.428,91.776,90.197,28.543,-102.146,3.957,0.071,0.92
Cell_0000,01/22/2024,beam_misalignment,-1,0.987,9.157,-91.763,-10.81,6.11,1.551,14.484,12.333,8.705,0.325,50.402,29.116,5.0,2.324,0.223,0.761,15.0,13.0,0.435,88.562,90.779,85.388,36.446,-105.192,3.939,0.076,-0.01
Cell_0000,01/23/2024,beam_misalignment,-1,1.0,9.05,-99.213,-9.946,5.293,1.603,17.875,12.965,8.807,0.349,52.013,25.639,6.0,2.044,0.225,0.779,5.0,12.0,0.348,90.044,93.025,85.509,33.07,-111.925,3.302,0.079,1.11
Cell_0000,01/24/2024,beam_misalignment,-1,0.961,10.367,-104.725,-11.028,5.228,1.894,16.517,12.533,16.293,0.319,54.391,31.587,5.0,2.31,0.196,0.782,13.0,14.0,0.365,90.758,91.459,82.627,33.688,-106.682,2.761,0.081,2.52
Cell_0000,01/25/2024,beam_misalignment,-1,1.0,9.536,-98.494,-11.252,5.948,1.711,17.817,12.047,15.855,0.302,56.756,31.429,6.0,2.005,0.235,0.687,14.0,29.0,0.354,89.536,92.033,87.102,26.121,-95.835,3.476,0.088,0.61
Cell_0000,01/26/2024,beam_misalignment,-1,0.921,9.691,-102.888,-10.681,5.438,1.504,15.123,14.641,11.64,0.318,48.011,33.408,5.0,2.225,0.18,0.809,12.0,24.0,0.413,92.416,94.907,86.764,23.121,-106.4,3.615,0.058,1.53
Cell_0000,01/27/2024,beam_misalignment,-1,0.783,8.171,-88.133,-10.853,4.799,0.787,14.655,13.703,11.637,0.291,39.169,20.35,5.0,1.537,0.234,0.78,9.0,22.0,0.35,90.422,94.083,85.148,27.763,-104.627,6.1,0.04,0.97
Cell_0000,01/28/2024,beam_misalignment,-1,0.755,6.263,-93.488,-11.242,5.825,1.124,17.724,11.402,14.443,0.253,39.869,29.677,5.0,1.362,0.219,0.757,6.0,25.0,0.398,88.282,91.09,85.977,22.945,-108.708,5.183,0.055,-2.47
Cell_0000,01/29/2024,beam_misalignment,-1,1.0,10.499,-92.645,-10.512,4.75,1.733,16.758,9.975,13.386,0.336,51.356,35.596,6.0,2.553,0.237,0.755,9.0,19.0,0.396,88.128,93.563,83.86,33.623,-101.503,2.74,0.092,3.37
Cell_0000,01/30/2024,beam_misalignment,-1,0.999,11.461,-93.179,-11.473,4.796,1.664,13.7,12.658,15.533,0.251,53.929,30.616,6.0,1.999,0.198,0.796,17.0,15.0,0.369,91.815,93.156,88.182,28.16,-103.468,2.882,0.072,4.27
Cell_0001,01/01/2024,healthy,-1,0.978,15.069,-74.45,-8.521,10.991,2.983,22.568,1.543,3.154,0.053,52.009,38.688,11.0,5.736,0.718,0.296,1.0,5.0,0.212,98.295,100.0,97.509,29.017,-111.085,3.685,0.527,-1.42
Cell_0001,01/02/2024,healthy,-1,0.961,13.641,-81.624,-9.077,10.364,2.587,22.868,2.488,3.658,0.105,50.162,43.706,15.0,8.125,0.712,0.321,1.0,4.0,0.238,100.0,98.051,98.23,30.556,-114.985,4.006,0.449,-1.9
Cell_0001,01/03/2024,healthy,-1,1.0,13.997,-74.048,-8.678,10.724,2.737,21.685,3.292,3.366,0.07,53.791,41.575,11.0,8.108,0.717,0.317,2.0,1.0,0.174,97.578,100.0,99.116,21.713,-109.706,3.919,0.474,-2.09
Cell_0001,01/04/2024,healthy,-1,0.952,13.86,-82.018,-8.661,11.478,2.889,23.03,2.731,3.226,0.062,52.442,39.952,14.0,7.535,0.737,0.277,0.0,6.0,0.223,96.25,98.236,98.139,29.937,-114.906,3.973,0.518,-3.36
Cell_0001,01/05/2024,healthy,-1,0.965,14.357,-73.855,-8.284,9.983,2.791,20.698,2.616,2.683,0.072,55.454,40.88,13.0,8.653,0.878,0.111,5.0,4.0,0.202,99.803,100.0,97.771,30.712,-116.24,3.577,0.596,-0.62
Cell_0001,01/06/2024,healthy,-1,0.755,14.434,-71.2,-7.485,9.856,2.613,20.399,3.222,2.558,0.063,43.077,33.926,10.0,6.278,0.711,0.263,2.0,6.0,0.166,100.0,99.739,98.939,26.477,-111.424,3.772,0.45,-0.35
Cell_0001,01/07/2024,healthy,-1,0.801,15.138,-74.775,-8.258,10.962,2.524,19.823,2.216,2.674,0.079,32.906,32.98,10.0,6.433,0.713,0.259,1.0,1.0,0.208,99.146,100.0,99.645,27.78,-106.404,4.342,0.44,-1.3
Cell_0001,01/08/2024,healthy,-1,1.0,13.938,-84.172,-8.392,10.813,2.826,21.884,2.639,3.481,0.09,53.738,45.39,16.0,4.862,0.735,0.209,3.0,5.0,0.245,99.137,98.012,98.193,30.642,-113.026,3.826,0.505,-2.28
Cell_0001,01/09/2024,healthy,-1,1.0,14.839,-74.19,-7.438,11.174,2.875,21.598,2.692,3.301,0.064,46.075,42.162,18.0,8.586,0.795,0.219,0.0,6.0,0.176,98.545,99.791,98.165,35.734,-111.158,3.887,0.556,-1.92
Cell_0001,01/10/2024,healthy,-1,0.995,14.975,-70.525,-8.065,10.884,2.984,23.33,2.283,2.599,0.081,52.515,37.757,15.0,7.334,0.648,0.35,2.0,5.0,0.201,97.078,100.0,97.694,37.443,-115.046,3.647,0.472,-1.35
Cell_0001,01/11/2024,healthy,-1,1.0,14.662,-78.426,-8.372,10.166,2.349,21.716,2.316,3.665,0.058,53.595,42.316,15.0,7.62,0.757,0.261,3.0,4.0,0.179,97.417,99.4,98.04,30.34,-117.538,4.327,0.435,-0.59
Cell_0001,01/12/2024,healthy,-1,1.0,14.199,-77.594,-8.683,10.797,2.43,22.751,2.276,4.03,0.086,59.564,38.161,13.0,7.628,0.683,0.346,3.0,5.0,0.192,98.538,98.396,99.397,31.756,-112.751,4.443,0.406,-2.0
Cell_0001,01/13/2024,healthy,-1,0.81,14.644,-81.17,-8.346,9.803,2.881,23.357,2.51,3.041,0.079,43.842,34.559,9.0,6.583,0.763,0.239,2.0,2.0,0.239,98.349,100.0,98.411,19.307,-112.214,3.403,0.536,-0.06
Cell_0001,01/14/2024,healthy,-1,0.766,15.222,-76.519,-8.508,10.366,2.375,21.674,2.681,2.469,0.087,42.672,35.254,11.0,6.518,0.702,0.301,1.0,3.0,0.197,98.737,99.321,97.54,19.141,-114.533,4.365,0.406,-0.33
Cell_0001,01/15/2024,healthy,-1,1.0,15.311,-73.553,-8.441,10.842,2.895,22.778,2.523,2.986,0.073,58.57,37.913,12.0,7.971,0.596,0.395,2.0,4.0,0.238,99.671,97.547,98.589,27.197,-111.171,3.745,0.421,-0.95
Cell_0001,01/16/2024,healthy,-1,0.986,16.299,-75.324,-7.922,10.297,2.624,23.568,2.741,3.769,0.07,60.056,43.389,10.0,7.686,0.752,0.241,3.0,3.0,0.231,98.276,98.319,99.365,28.218,-115.54,3.924,0.48,0.85
Cell_0001,01/17/2024,healthy,-1,0.981,13.459,-67.748,-8.709,12.083,2.567,21.054,1.746,3.616,0.084,52.596,38.222,15.0,7.391,0.752,0.263,1.0,3.0,0.195,99.691,98.686,97.779,25.769,-116.383,4.707,0.474,-4.66
Cell_0001,01/18/2024,healthy,-1,0.984,14.016,-77.384,-8.262,9.329,2.702,22.472,2.396,2.879,0.06,53.896,42.632,16.0,3.561,0.697,0.3,4.0,4.0,0.191,98.283,100.0,97.025,29.623,-109.711,3.452,0.46,0.02
Cell_0001,01/19/2024,healthy,-1,1.0,12.828,-82.541,-8.077,10.179,2.413,21.678,2.097,4.103,0.055,54.321,46.126,12.0,6.965,0.694,0.3,4.0,3.0,0.182,99.878,100.0,100.0,28.737,-109.695,4.218,0.41,-2.44
Cell_0001,01/20/2024,healthy,-1,0.843,15.404,-76.957,-8.76,9.932,2.818,21.126,2.59,4.017,0.075,43.272,28.185,12.0,5.27,0.654,0.345,0.0,3.0,0.181,98.937,100.0,96.976,28.772,-115.473,3.525,0.449,0.51
Cell_0001,01/21/2024,healthy,-1,0.766,14.123,-84.976,-8.828,10.082,2.979,20.72,2.584,2.974,0.07,38.35,28.892,12.0,6.585,0.776,0.242,1.0,3.0,0.212,98.421,99.438,97.978,21.831,-107.473,3.384,0.563,-1.0
Cell_0001,01/22/2024,healthy,-1,0.926,14.67,-79.139,-8.543,10.118,2.826,21.108,2.435,2.969,0.081,38.849,37.893,13.0,7.369,0.782,0.204,3.0,1.0,0.203,98.92,100.0,98.559,20.325,-114.293,3.58,0.539,-0.51
Cell_0001,01/23/2024,healthy,-1,0.954,13.85,-72.452,-8.675,9.687,2.618,22.511,2.667,3.044,0.087,46.18,41.781,11.0,6.465,0.679,0.319,2.0,1.0,0.188,98.561,98.076,98.063,29.272,-113.028,3.7,0.433,-0.68
Cell_0001,01/24/2024,healthy,-1,1.0,14.131,-76.479,-7.991,11.0,2.377,20.636,2.848,3.087,0.081,44.614,41.766,14.0,6.888,0.699,0.306,1.0,9.0,0.166,98.963,99.214,98.258,30.187,-113.604,4.627,0.404,-2.37
Cell_0001,01/25/2024,healthy,-1,0.936,15.7,-76.93,-8.904,10.179,2.384,21.826,2.455,3.818,0.086,57.191,39.587,16.0,6.413,0.727,0.296,2.0,5.0,0.206,99.601,99.656,98.898,25.385,-111.536,4.269,0.423,0.43
Cell_0001,01/26/2024,healthy,-1,0.959,15.164,-71.843,-8.451,10.628,2.416,23.356,2.087,3.554,0.078,53.011,49.042,14.0,6.548,0.864,0.132,2.0,1.0,0.192,98.765,98.141,95.979,29.323,-112.394,4.399,0.511,-0.78
Cell_0001,01/27/2024,healthy,-1,0.788,14.349,-78.325,-7.4,10.25,2.662,22.948,1.89,3.781,0.08,42.225,29.412,12.0,4.493,0.763,0.223,1.0,2.0,0.199,98.486,99.416,97.085,20.754,-112.44,3.851,0.498,-1.03
Cell_0001,01/28/2024,healthy,-1,0.783,15.239,-73.576,-8.305,10.088,2.685,21.849,2.491,3.679,0.073,39.43,37.021,11.0,4.278,0.676,0.315,1.0,2.0,0.211,97.741,100.0,98.375,24.606,-116.783,3.757,0.442,0.11
Cell_0001,01/29/2024,healthy,-1,1.0,15.261,-77.086,-8.234,11.58,2.826,24.34,2.567,4.2,0.08,54.428,40.986,12.0,7.311,0.749,0.272,2.0,5.0,0.142,99.424,99.762,97.934,39.792,-119.057,4.098,0.515,-2.11
Cell_0001,01/30/2024,healthy,-1,1.0,14.065,-76.309,-7.988,11.107,2.329,24.568,2.117,2.81,0.077,49.665,44.806,13.0,8.453,0.65,0.39,2.0,6.0,0.166,99.196,100.0,98.458,23.686,-109.434,4.769,0.371,-2.6
Cell_0002,01/01/2024,beam_misalignment,-1,0.984,9.996,-88.412,-11.526,5.354,1.399,17.716,9.49,6.581,0.242,41.189,21.293,8.0,2.788,0.278,0.735,5.0,16.0,0.554,99.71,90.822,91.018,29.931,-109.204,3.828,0.088,1.97
Cell_0002,01/02/2024,beam_misalignment,-1,0.999,9.908,-93.851,-11.311,5.506,1.317,16.766,16.067,11.286,0.278,34.532,28.985,10.0,3.068,0.3,0.601,12.0,19.0,0.472,92.519,92.562,88.955,32.513,-106.481,4.181,0.083,1.65
Cell_0002,01/03/2024,beam_misalignment,-1,1.0,9.256,-95.416,-12.544,5.959,1.476,15.601,13.059,7.994,0.223,30.053,27.473,9.0,3.266,0.23,0.809,13.0,27.0,0.601,100.0,93.424,90.237,32.51,-101.079,4.037,0.074,0.32
Cell_0002,01/04/2024,beam_misalignment,-1,1.0,10.175,-87.558,-13.284,5.822,1.49,17.768,15.429,10.108,0.239,36.905,29.473,10.0,2.738,0.276,0.693,13.0,18.0,0.462,97.738,93.141,88.877,31.475,-117.11,3.906,0.087,1.44
Cell_0002,01/05/2024,beam_misalignment,-1,0.955,10.493,-91.697,-11.399,5.625,1.198,17.831,14.678,7.61,0.251,33.647,28.651,7.0,2.54,0.254,0.691,16.0,18.0,0.46,95.137,96.565,90.152,25.371,-108.068,4.694,0.065,2.06
Cell_0002,01/06/2024,beam_misalignment,-1,0.808,10.385,-85.788,-11.212,4.733,1.396,16.453,49.455,10.057,0.235,36.204,26.011,5.0,1.731,0.32,0.667,10.0,22.0,0.436,98.129,89.889,88.998,27.733,-108.377,3.39,0.056,3.28
Cell_0002,01/07/2024,beam_misalignment,-1,0.764,8.698,-94.002,-11.25,5.729,1.168,17.071,15.953,11.386,0.267,29.159,21.988,6.0,1.915,0.23,0.747,12.0,22.0,0.494,99.219,90.073,88.209,26.806,-111.664,4.904,0.056,0.1
Cell_0002,01/08/2024,beam_misalignment,-1,0.999,10.115,-92.564,-11.817,5.175,1.529,14.667,14.494,8.372,0.176,35.847,36.939,8.0,2.271,0.291,0.752,7.0,23.0,0.484,96.931,89.92,90.872,38.127,-103.829,3.385,0.095,2.35
Cell_0002,01/09/2024,beam_misalignment,-1,0.973,9.378,-85.233,-12.805,6.295,1.411,18.387,11.405,6.454,0.31,32.152,28.687,8.0,2.332,0.266,0.717,13.0,17.0,0.454,93.296,91.51,89.347,32.656,-112.336,4.462,0.083,-0.06
Cell_0002,01/10/2024,beam_misalignment,-1,1.0,10.768,-89.169,-9.946,5.554,1.393,14.884,15.011,11.393,0.265,37.623,33.887,9.0,3.266,0.264,0.79,9.0,14.0,0.623,96.141,94.079,90.149,31.887,-111.847,3.988,0.078,2.44
Cell_0002,01/11/2024,beam_misalignment,-1,0.998,9.07,-97.115,-11.59,5.16,1.504,15.2,16.564,10.354,0.235,41.661,21.905,8.0,2.59,0.257,0.756,7.0,24.0,0.547,98.72,90.155,89.268,27.962,-102.699,3.431,0.081,1.33
Cell_0002,01/12/2024,beam_misalignment,-1,0.999,8.856,-89.269,-12.139,5.696,1.324,16.456,14.565,8.445,0.224,37.528,32.453,7.0,2.214,0.296,0.739,15.0,21.0,0.541,97.67,94.105,88.122,37.561,-99.937,4.303,0.084,0.31
Cell_0002,01/13/2024,beam_misalignment,-1,0.817,8.62,-83.737,-12.135,6.459,1.553,18.176,13.625,8.793,0.215,27.251,22.97,6.0,2.515,0.263,0.737,13.0,17.0,0.602,96.407,92.12,91.85,26.838,-106.642,4.159,0.088,-1.07
Cell_0002,01/14/2024,beam_misalignment,-1,0.722,9.357,-92.599,-11.867,6.093,1.194,18.175,13.477,7.576,0.259,27.723,16.641,6.0,2.106,0.208,0.842,10.0,14.0,0.533,99.24,90.013,89.619,23.561,-111.496,5.103,0.054,0.22
Cell_0002,01/15/2024,beam_misalignment,-1,1.0,9.612,-87.731,-11.095,5.857,1.649,16.346,39.817,11.027,0.269,36.244,29.818,10.0,2.936,0.292,0.661,14.0,15.0,0.48,98.139,88.83,88.356,30.91,-109.319,3.552,0.073,0.83
Cell_0002,01/16/2024,beam_misalignment,-1,1.0,9.63,-94.276,-11.834,4.971,1.271,17.618,16.423,8.361,0.235,38.055,27.748,10.0,1.783,0.287,0.718,10.0,18.0,0.431,98.288,89.243,91.263,30.665,-102.032,3.912,0.076,2.17
Cell_0002,01/17/2024,beam_misalignment,-1,1.0,9.504,-91.053,-11.272,6.661,1.05,13.592,17.754,7.156,0.272,35.128,30.275,9.0,3.296,0.273,0.711,10.0,17.0,0.478,95.915,90.829,86.637,34.515,-105.824,6.344,0.059,-0.49
Cell_0002,01/18/2024,beam_misalignment,-1,0.965,9.8,-85.507,-11.866,5.375,1.313,15.177,12.543,9.382,0.214,33.826,30.414,8.0,2.256,0.221,0.835,12.0,20.0,0.598,95.728,91.744,92.968,27.003,-106.749,4.092,0.063,1.74
Cell_0002,01/19/2024,beam_misalignment,-1,0.943,8.979,-89.443,-12.087,6.266,1.292,15.211,15.907,7.918,0.209,32.922,22.974,9.0,2.687,0.225,0.835,10.0,15.0,0.454,93.421,94.533,88.669,35.942,-104.987,4.852,0.061,-0.42
Cell_0002,01/20/2024,beam_misalignment,-1,0.84,8.382,-84.605,-11.454,5.545,0.656,18.402,14.474,7.686,0.292,33.485,26.483,7.0,2.954,0.198,0.802,10.0,13.0,0.538,96.208,93.526,86.731,31.313,-106.479,8.452,0.028,0.06
Cell_0002,01/21/2024,beam_misalignment,-1,0.796,8.302,-88.512,-11.486,6.211,1.421,17.424,14.54,8.504,0.257,27.927,22.795,7.0,2.687,0.269,0.679,8.0,23.0,0.573,98.519,90.51,92.38,24.302,-99.745,4.37,0.082,-1.01
Cell_0002,01/22/2024,beam_misalignment,-1,1.0,10.079,-80.402,-12.135,6.48,1.588,16.656,15.632,9.208,0.28,34.746,32.486,7.0,2.176,0.214,0.803,8.0,8.0,0.534,96.315,92.807,88.163,28.577,-109.505,4.08,0.072,0.36
Cell_0002,01/23/2024,beam_misalignment,-1,0.934,9.615,-97.511,-12.622,6.103,1.34,16.815,15.645,7.207,0.215,30.813,26.178,8.0,1.866,0.203,0.731,6.0,19.0,0.54,97.571,95.096,89.42,22.577,-109.993,4.555,0.057,0.46
Cell_0002,01/24/2024,beam_misalignment,-1,0.949,7.479,-91.417,-11.706,6.164,1.243,18.919,39.782,10.979,0.213,36.118,25.868,9.0,2.938,0.294,0.771,11.0,16.0,0.553,98.859,95.505,90.265,25.702,-112.202,4.957,0.055,-1.77
Cell_0002,01/25/2024,beam_misalignment,-1,1.0,10.19,-95.339,-11.927,5.675,1.16,16.075,31.012,10.014,0.23,37.556,28.692,9.0,2.605,0.279,0.702,7.0,8.0,0.539,97.431,91.476,91.095,34.674,-108.615,4.894,0.056,1.68
Cell_0002,01/26/2024,beam_misalignment,-1,1.0,10.91,-95.03,-12.459,5.483,1.287,14.205,32.713,8.592,0.216,34.786,28.906,7.0,2.359,0.245,0.754,6.0,26.0,0.603,97.62,93.819,89.521,33.088,-110.963,4.261,0.053,2.69
Cell_0002,01/27/2024,beam_misalignment,-1,0.817,8.526,-94.989,-12.7,5.81,1.013,18.132,18.03,7.859,0.26,27.638,21.824,7.0,2.277,0.251,0.722,8.0,16.0,0.465,94.083,94.614,87.835,27.584,-105.391,5.736,0.052,-0.19
Cell_0002,01/28/2024,beam_misalignment,-1,0.822,9.492,-89.676,-11.648,5.536,1.237,16.651,14.256,8.969,0.218,35.542,22.346,5.0,2.044,0.181,0.783,12.0,11.0,0.532,96.086,89.28,89.377,20.396,-106.23,4.476,0.048,1.19
Cell_0002,01/29/2024,beam_misalignment,-1,0.969,8.749,-89.412,-11.531,7.145,1.617,17.913,15.42,10.317,0.206,28.664,24.334,9.0,2.732,0.283,0.746,12.0,17.0,0.425,100.0,91.112,88.241,29.435,-110.908,4.42,0.097,-1.97
Cell_0002,01/30/2024,beam_misalignment,-1,0.976,9.76,-88.502,-12.295,5.162,1.218,16.281,17.076,10.106,0.244,37.306,26.719,7.0,2.515,0.234,0.76,13.0,18.0,0.412,96.91,96.142,89.431,36.228,-103.813,4.238,0.059,2.02
Cell_0003,01/01/2024,healthy,-1,1.0,15.548,-65.104,-9.611,10.279,2.224,24.82,2.925,3.053,0.096,33.054,38.504,8.0,4.109,0.776,0.255,2.0,5.0,0.208,98.54,99.321,99.634,30.319,-111.843,4.622,0.419,0.13
Cell_0003,01/02/2024,healthy,-1,1.0,17.256,-71.637,-9.16,10.188,2.195,22.817,3.188,3.004,0.1,33.734,45.868,8.0,3.696,0.74,0.238,1.0,4.0,0.254,97.792,99.437,98.276,28.317,-106.64,4.641,0.393,1.97
Cell_0003,01/03/2024,healthy,-1,0.924,17.757,-74.289,-9.416,9.949,2.239,22.564,3.349,4.176,0.075,30.892,37.809,7.0,4.042,0.814,0.178,5.0,5.0,0.254,97.44,98.958,99.82,31.687,-110.952,4.444,0.44,2.83
Cell_0003,01/04/2024,healthy,-1,1.0,15.337,-68.986,-9.314,11.194,2.077,22.744,2.445,3.347,0.105,33.479,46.16,9.0,3.018,0.803,0.149,0.0,5.0,0.249,97.79,99.324,100.0,30.021,-106.639,5.389,0.407,-1.45
Cell_0003,01/05/2024,healthy,-1,0.972,14.222,-71.907,-8.816,10.186,2.351,21.483,2.312,3.129,0.079,34.629,35.434,8.0,2.943,0.813,0.171,3.0,4.0,0.204,99.69,99.839,98.827,29.595,-109.038,4.333,0.467,-1.06
Cell_0003,01/06/2024,healthy,-1,0.879,17.296,-65.097,-9.047,9.327,2.453,23.378,3.496,2.959,0.08,28.034,32.078,6.0,3.651,0.73,0.267,3.0,6.0,0.24,99.826,98.604,99.12,26.742,-110.866,3.803,0.432,3.31
Cell_0003,01/07/2024,healthy,-1,0.813,16.495,-72.064,-8.115,10.763,1.931,23.266,2.68,3.706,0.093,28.029,33.349,7.0,2.5,0.839,0.122,2.0,4.0,0.219,99.425,98.748,100.0,24.038,-112.014,5.573,0.394,0.35
Cell_0003,01/08/2024,healthy,-1,1.0,14.432,-69.947,-8.391,11.057,1.99,23.46,2.661,3.025,0.093,40.922,37.958,11.0,4.068,0.872,0.12,1.0,1.0,0.218,98.912,100.0,97.454,30.499,-112.133,5.555,0.422,-2.15
Cell_0003,01/09/2024,healthy,-1,1.0,19.234,-74.877,-9.139,10.089,2.182,23.714,3.703,3.243,0.075,40.1,45.547,8.0,3.934,0.811,0.149,6.0,5.0,0.214,97.551,99.273,100.0,38.258,-110.83,4.624,0.426,4.1
Cell_0003,01/10/2024,healthy,-1,0.992,17.055,-68.534,-9.275,10.24,2.136,22.304,3.036,2.955,0.087,32.899,39.992,10.0,3.312,0.711,0.284,6.0,3.0,0.262,98.06,99.085,98.773,26.954,-110.114,4.793,0.368,1.7
